代碼,總報酬率 (%)
0050.TW,161.22
0052.TW,280.16
0056.TW,194.69
006208.TW,156.07
00631L.TW,257.08
00633L.TW,-27.06
00637L.TW,-24.53
00646.TW,84.89
00662.TW,140.17
00665L.TW,-66.15
00670L.TW,175.58
00675L.TW,268.21
00680L.TW,-71.68
00688L.TW,-72.1
00692.TW,183.7
00701.TW,142.75
00706L.TW,-62.98
00711B.TW,2.67
00712.TW,10.95
00713.TW,271.3
00715L.TW,-60.08
00733.TW,215.33
00752.TW,-8.08
00753L.TW,-65.51
00757.TW,317.31
00770.TW,276.37
00775B.TW,-1.2
00830.TW,236.89
00850.TW,189.42
